MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.032007,   0.071416,   0.077555,   -25.722561,   675.598999,   0.582333,   0.371144,   5.764659,   205.563354,   444.313080,   -329.715973,   0.314488,   688.820557,   687.738708
-0.029520,   0.063282,   0.068447,   -35.793396,   655.650757,   0.582333,   0.371144,   4.784020,   203.464890,   416.392487,   -328.921295,   0.306438,   674.260376,   672.117859
-0.025875,   0.053942,   0.057981,   -43.148209,   632.551819,   0.582333,   0.371144,   3.803381,   203.785675,   385.617950,   -325.387299,   0.299863,   655.192383,   651.984253
-0.021196,   0.043854,   0.046632,   -45.025803,   607.085571,   0.582333,   0.371144,   2.822742,   207.343719,   354.716034,   -317.620300,   0.297007,   630.804810,   627.174072
-0.015937,   0.033773,   0.035255,   -37.240963,   581.275513,   0.582333,   0.371144,   1.842103,   216.668564,   327.365997,   -304.264984,   0.301858,   600.762329,   598.157043
-0.010947,   0.024432,   0.024738,   -21.556448,   554.444397,   0.582333,   0.371144,   0.861463,   227.488007,   305.399963,   -285.353607,   0.314093,   565.530884,   564.605408
-0.059580,   0.025445,   0.063892,   -657.810547,   8.357331,   0.567391,   1.113431,   57.008831,   -305.373932,   -344.079254,   -332.521240,   -0.327001,   662.028748,   -661.910034
-0.068032,   0.029053,   0.073562,   -678.398499,   4.013085,   0.567391,   1.113431,   56.053352,   -289.970490,   -384.414948,   -337.922272,   -0.330380,   680.413940,   -680.387268
-0.076758,   0.032165,   0.083580,   -702.408630,   0.000000,   0.567391,   1.113431,   55.097878,   -271.526123,   -442.906799,   -334.387177,   -0.341928,   696.474304,   -696.240723
-0.085045,   0.034200,   0.093061,   -727.738831,   0.000000,   0.567391,   1.113431,   54.142399,   -256.757996,   -511.293732,   -319.282776,   -0.361380,   708.443115,   -705.855591
-0.092228,   0.035005,   0.101275,   -752.141296,   0.000000,   0.567391,   1.113431,   53.186924,   -249.967529,   -580.686218,   -293.428436,   -0.386645,   716.120300,   -706.340027
-0.097112,   0.034418,   0.106943,   -772.193176,   0.000000,   0.567391,   1.113431,   52.231445,   -251.441818,   -641.739380,   -260.641510,   -0.413872,   719.370728,   -695.926270
-0.098764,   0.032492,   0.109050,   -785.326172,   0.000000,   0.567391,   1.113431,   51.275970,   -258.418793,   -688.318420,   -226.084305,   -0.439309,   718.352600,   -675.720093
